Name,Regular price,Images,Categories,Type,Published,Visibility in catalog,In stock?
Gris benslimane,300.0,./Marbre local/images/Gris_benslimane.jpg,Marbre local,simple,1,visible,1
Noir azilal,400.0,./Marbre local/images/Noir_azilal.jpg,Marbre local,simple,1,visible,1
Jaune bejaad,320.0,./Marbre local/images/Jaune_bejaad.jpg,Marbre local,simple,1,visible,1
Rouge agadir,380.0,./Marbre local/images/Rouge_agadir.jpg,Marbre local,simple,1,visible,1
Bir jdid,350.0,./Marbre local/images/Bir_jdid.jpg,Marbre local,simple,1,visible,1
Pierre Naturelle,300.0,./Pierre Naturelle&Tahejart/images/Pierre_Naturelle.jpg,Pierre NaturelleTahejart,simple,1,visible,1
Eclaté beige taza,120.0,./Pierre Naturelle&Tahejart/images/Eclaté_beige_taza.jpg,Pierre NaturelleTahejart,simple,1,visible,1
Éclaté gris taza,130.0,./Pierre Naturelle&Tahejart/images/Éclaté_gris_taza.jpg,Pierre NaturelleTahejart,simple,1,visible,1
Éclaté Noir khenifra,180.0,./Pierre Naturelle&Tahejart/images/Éclaté_Noir_khenifra.jpg,Pierre NaturelleTahejart,simple,1,visible,1
Éclaté noir azilal,180.0,./Pierre Naturelle&Tahejart/images/Éclaté_noir_azilal.jpg,Pierre NaturelleTahejart,simple,1,visible,1
Éclaté volubilis,180.0,./Pierre Naturelle&Tahejart/images/Éclaté_volubilis.jpg,Pierre NaturelleTahejart,simple,1,visible,1
Éclaté rouge rosé,220.0,./Pierre Naturelle&Tahejart/images/Éclaté_rouge_rosé.jpg,Pierre NaturelleTahejart,simple,1,visible,1
Ardoise gris benikhirane,,./Pierre Naturelle&Tahejart/images/Ardoise_gris_benikhirane.jpg,Pierre NaturelleTahejart,simple,1,visible,1
Ardoise verdatre,130.0,./Pierre Naturelle&Tahejart/images/Ardoise_verdatre.jpg,Pierre NaturelleTahejart,simple,1,visible,1
Ardoise violet foncé,160.0,./Pierre Naturelle&Tahejart/images/Ardoise_violet_foncé.jpg,Pierre NaturelleTahejart,simple,1,visible,1
Ardoise,130.0,./Pierre Naturelle&Tahejart/images/Ardoise.jpg,Pierre NaturelleTahejart,simple,1,visible,1
Ardoise,120.0,./Pierre Naturelle&Tahejart/images/Ardoise2.jpg,Pierre NaturelleTahejart,simple,1,visible,1
Ardoise,140.0,./Pierre Naturelle&Tahejart/images/Ardoise3.jpg,Pierre NaturelleTahejart,simple,1,visible,1
